54.210.173.210 - - "2018-02-21 07:07:44" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/48 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:20:11" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/3 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:23:09" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/3 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:23:40" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/79 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:24:10" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/79/63 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:24:41" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/79 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:25:11" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/34 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:25:41" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/34/31 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:26:11" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/34 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:26:42" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/36 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:27:12" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/36/33 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:27:42" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/36 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:37:41" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/28 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
66.249.64.95 bot - "2018-02-21 07:40:42" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/54/51 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
54.210.173.210 - - "2018-02-21 07:41:22" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/28/25 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:41:52" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/28 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:43:54" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/43 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
66.249.64.91 bot - "2018-02-21 07:45:12" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/82/66 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
54.210.173.210 - - "2018-02-21 07:47:14" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/43/40 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:47:45" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/43 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
